 hp, time-to-60
165,12
71,14
140,11
150,10
63,17
125,17
158,13
215,9
77,20
62,17
70,17
78,16
140,14
180,11
90,19
155,15
65,19
150,12
95,16
90,15
65,16
110,13
81,18
142,14
60,19
53,17
65,19
148,14
78,21
65,21
88,15
100,18
97,15
90,15
67,16
110,16
46,21
110,14
138,13
90,18
105,19
140,16
110,16
110,16
225,10
74,18
150,14
86,16
78,15
88,17
150,12
71,25
160,8
75,16
180,12
230,10
108,16
83,16
70,14
175,11
100,16
94,17
132,11
65,18
150,15
98,19
46,21
67,16
71,12
145,13
95,17
88,19
92,17
97,17
83,17
85,17
90,18
95,15
90,16
75,17
190,12
198,12
145,13
95,15
81,17
69,18
97,16
85,17
75,15
82,19
65,15
97,15
175,13
100,16
79,18
110,21
180,13
88,15
135,15
100,17
150,14
167,13
80,17
70,13
75,15
84,16
48,24
76,15
115,14
130,12
88,19
112,15
149,15
53,18
69,15
95,19
88,16
110,15
65,16
198,10
83,15
67,16
170,12
105,17
60,19
72,14
170,13
75,15
91,14
66,14
78,15
90,17
225,11
150,12
145,14
150,13
70,21
129,12
98,15
87,20
115,13
75,16
96,14
60,16
125,15
88,17
110,17
90,18
165,12
139,11
75,18
95,14
225,10
72,20
86,16
88,16
90,14
68,17
100,13
133,16
90,20
140,14
97,15
95,16
54,24
110,16
105,16
92,15
122,14
63,15
72,17
103,16
49,20
85,16
86,17
69,18
175,12
150,12
139,13
68,19
85,18
67,18
140,13
150,11
88,18
85,17
105,16
150,13
153,13
215,11
92,14
90,16
190,13
145,13
150,14
76,15
84,16
48,22
70,14
70,17
75,14
83,17
90,22
100,18
72,20
190,9
65,19
88,17
130,14
116,13
97,15
165,13
58,17
70,20
100,15
100,15
65,19
152,13
115,11
130,15
95,18
115,16
150,14
120,17
137,15
61,19
215,14
52,17
85,16
86,16
170,10
79,19
78,19
150,15
102,16
52,25
150,13
85,16
64,16
86,14
145,12
105,17
180,11
87,18
220,9
150,11
140,13
48,22
75,16
84,16
70,16
110,14
67,20
145,13
110,13
95,15
130,15
60,16
112,15
100,16
105,15
